Index,Orbital Period,Transition Duration,Transition Depth,Planet Rad,Planet Eqbm Temp,Stellar Effective Temp,Stellar log g,Stellar Rad,ra,dec,Output,Unnamed: 12,Unnamed: 13
17631,1.5244603,1.665,1648.0,14.6878,2356.949358,6714.1,4.06,1.85,34.562558,44.087989,1,,
17632,3.4796904,3.691,3796.0,16.6632,1784.0,6841.0,3.66,2.97,46.770809,49.010302,1,,
17633,4.6017262,1.471,14162.0,13.5575,851.0,5981.0,4.38,1.12,27.528548,49.104842,1,,
17634,2.277182,1.675,5220.0,8.26117,1241.0,5622.0,4.34,1.12,39.357061,42.971222,1,,
17635,5.5122277,2.82,10785.0,12.2781,998.0,5587.5,4.29,1.18,40.856559,32.557986,1,,
17636,4.0898871,2.736,30000.0,15.4339,1240.0,6191.8,4.33,1.11,30.003263,38.529964,1,,
17637,1.7025848,1.848351,7466.671982,11.8582247,1652.585336,5504.0,4.21,1.27966,9.692072,-34.214907,1,,
17638,3.9497635,1.9011439,8478.170844,18.2571108,1467.730271,6373.0,4.22,1.44338,29.513926,41.220248,1,,
17639,2.6480838,3.42,11090.0,10.544,1318.523835,5800.55,4.33,1.23434,21.792202,58.96064,1,,
17640,9.9908116,3.566,4620.0,13.9288,1183.014,7934.0,4.33,2.02,54.405622,46.84287,1,,
17641,3.2975093,2.511,13404.0,12.8987,1204.0,5556.0,4.29,1.18,35.308494,59.711857,1,,
17642,0.8746494,1.576,1910.0,3.71319,1740.0,4977.4,4.54,0.81,54.214981,44.769846,1,,
17643,5.4439776,2.9570233,9179.060848,16.8830792,1217.084648,5717.0,4.14,1.41985,33.811901,33.229276,1,,
17644,0.7415247,1.196,2342.0,13.5277,1930.0,5921.0,3.6,2.73,48.218476,35.093455,1,,
17645,1.2126653,1.356,5132.0,10.8168,1609.0,5958.7,4.33,1.51,31.602366,33.856295,1,,
17646,2.1947767,2.1045072,7174.209618,13.7928815,1396.632363,5601.5,4.39,1.05234,18.669659,57.077693,1,,
17647,1.7266138,1.067,12043.0,16.1222,1836.409449,5972.0,4.18,1.41,12.407578,56.001551,1,,
17648,2.2390796,2.781,17069.0,16.4201,1522.0,5615.0,4.21,1.29,8.722569,54.743514,1,,
17649,4.4619426,3.232,10390.0,13.0569,1245.0,5854.0,4.2,1.36,23.877131,50.987801,1,,
17650,5.9577768,4.6924078,12419.12879,12.4756295,980.6686318,5219.0,4.29,1.12249,45.204618,27.31965,1,,
17651,1.9341469,1.676,9465.0,10.544,1133.0,4828.4,4.33,1.23434,41.946141,49.410435,1,,
17652,5.9664078,2.816,20351.0,12.7661,905.0,5418.0,4.51,0.89,36.126714,35.528321,1,,
17653,3.3462671,3.625,4070.0,12.1727,1438.0,5501.0,3.86,1.91,50.275227,25.297266,1,,
17654,1.3697115,1.951,3867.0,20.6045,3261.0,7321.3,3.99,2.15,40.958303,54.780398,1,,
17655,4.9777448,2.891,13389.0,12.9782,1095.0,5785.0,4.29,1.21,15.754328,57.879011,1,,
17656,5.0778064,3.6413963,14469.3182,14.9343184,1095.365339,5262.0,4.2,1.24347,36.900563,59.952721,1,,
17657,4.4543921,6.186,18251.0,10.544,1680.0,5854.0,4.33,1.23434,34.018303,53.108335,1,,
17658,2.4145007,2.272,7472.571459,15.7019,1622.0,6391.0,4.1,1.67,30.367906,48.636524,1,,
17659,5.4640119,2.928,3785.0,10.544,1183.014,5800.55,4.33,1.23434,351.229397,-38.160792,1,,
17660,10.0755592,1.066,5820.0,8.169,405.0,4798.6,4.36,0.97,19.670217,52.699436,1,,
17661,3.3411398,3.244,15431.0,15.9091,1614.0,6702.0,4.36,1.3,18.773067,53.117687,1,,
17662,3.3210331,4.684,10206.0,10.544,1545.0,5218.2,4.33,1.23434,16.813747,53.671781,1,,
17663,2.5400911,1.668,4260.0,5.00683,886.0,4245.0,4.49,0.77,23.432187,59.425604,1,,
17664,4.4236103,4.356,5831.0,13.1733,1549.0,6120.1,3.96,1.86,36.719078,45.037963,1,,
17665,2.3467263,4.2923576,6652.269192,15.2126883,1890.956087,6121.8,4.0,1.78044,87.883981,36.7873,1,,
17666,3.0423931,2.7491505,10703.72462,18.1780385,1833.1735,7046.0,4.19,1.65768,60.937413,50.236205,1,,
17667,4.0463709,3.0383534,27706.6329,18.1541478,1172.129015,5805.0,4.41,1.05486,8.659679,-32.166578,1,,
