Index,Output,Orbital Period,Transition Duration,Transition Depth,Planet Rad,Planet Eqbm Temp,Stellar Effective Temp,Stellar log g,Stellar Rad,ra,dec,,,,,
61,0,10.40599802,6.5036,14500.00,11.23,833,5746,4.393,0.924,289.23553,50.241001,,,,,
62,1,2.337437946,1.9982,971.00,2.34,1070,5005,4.595,0.765,293.83331,50.23035,,,,,
63,1,7.2406612,0.558,556.00,19.45,734,5005,4.595,0.765,293.83331,50.23035,,,,,
64,1,3.43591631,3.133,23.20,0.55,1272,5779,4.339,1.087,287.88733,46.276241,,,,,
65,1,11.59822233,2.5237,2800.00,2.65,396,3688,4.79,0.473,296.22195,50.28722,,,,,
66,1,6.575315881,4.3084,2790.00,5.31,1015,5992,4.415,0.989,290.09805,50.321609,,,,,
67,1,7.275040844,7.5377,3000.00,4.86,833,5485,4.556,0.867,295.45529,50.49456,,,,,
68,1,19.27153892,2.7594,1220.00,1.93,393,4077,4.702,0.56,293.97336,50.53191,,,,,
69,1,10.06524317,1.369,1050.00,1.91,488,4077,4.702,0.56,293.97336,50.53191,,,,,
70,1,12.3935651,3.8896,917.00,2.66,677,5557,4.603,0.75,296.02133,50.56778,,,,,
71,1,43.84439721,6.802,615.00,2.87,531,5854,4.406,1.012,300.86398,44.337551,,,,,
72,0,3.341913228,3.813,725.00,21.55,1032,5295,4.551,0.811,292.31595,38.27029,,,,,
73,0,1.626630225,2.1145,1620.00,32.43,1547,5735,4.41,0.973,294.36819,38.31028,,,,,
74,1,2.711504086,3.0099,838.00,3.12,1420,6214,4.442,1.076,291.65353,38.494659,,,,,
75,1,7.21203748,4.0491,950.00,3.32,1025,6214,4.442,1.076,291.65353,38.494659,,,,,
76,0,14.1798187,2.505,460.00,1.88,711,5799,4.539,0.878,291.0448,51.321671,,,,,
77,1,8.47237911,2.7245,1120.00,2.59,751,5354,4.587,0.788,296.36652,51.319519,,,,,
78,1,60.4189369,5.039,931.00,2.36,390,5354,4.587,0.788,296.36652,51.319519,,,,,
79,1,12.61190435,5.1497,6110.00,7.4,753,5795,4.508,0.919,289.11221,51.737381,,,,,
80,0,1.433769925,1.8868,1980.00,46.58,1920,6017,4.22,1.339,290.84369,37.728828,,,,,
81,0,10.31872301,3.836,872.00,28.59,876,5927,4.409,1.06,291.84891,37.713501,,,,,
82,1,2.539183147,2.4282,382.00,2.06,1332,5519,4.35,1.062,291.43997,37.905659,,,,,
83,1,6.770300385,2.0844,1300.00,2.77,812,5653,4.656,0.679,290.87051,38.273628,,,,,
84,0,0.444291966,2.0792,11000.00,27.51,1836,5255,4.678,0.636,290.99689,38.28492,,,,,
85,1,10.181584,3.5089,5740.00,7.73,812,5988,4.541,0.836,291.28195,38.241669,,,,,
86,1,20.06036336,3.3203,1490.00,1.96,361,3950,4.754,0.493,286.07913,39.27832,,,,,
87,1,46.1842039,4.758,1390.00,1.83,273,3950,4.754,0.493,286.07913,39.27832,,,,,
88,1,23.9800854,5.351,104.00,1.31,649,5854,4.406,1.012,300.86398,44.337551,,,,,
89,1,7.82502168,2.186,521.00,1.2,494,3950,4.754,0.493,286.07913,39.27832,,,,,
90,1,3.895936525,2.3111,8540.00,7.34,1005,5557,4.592,0.774,294.65524,39.308361,,,,,
91,1,22.36646466,5.228,987.00,2.32,536,5395,4.615,0.734,294.71063,39.52174,,,,,
92,1,1.625522174,2.38963,7970.00,9.73,1579,5539,4.322,1.106,293.87192,38.422939,,,,,
93,1,19.62034692,2.0038,21700.00,13.6,643,5710,4.492,0.905,293.81619,38.563568,,,,,
94,0,7.544039,6.222,323.00,17.47,838,5657,4.567,0.824,293.94116,38.601101,,,,,
95,1,9.02930689,3.1449,1020.00,2.57,757,5349,4.526,0.82,290.33362,38.72823,,,,,
96,0,10.32803571,7.7915,16900.00,13.28,843,5627,4.359,1.024,287.69675,38.886452,,,,,
97,1,143.2063047,8.9302,10600.00,8.9,308,5485,4.556,0.867,285.28363,38.947281,,,,,
98,1,6.164876,3.262,55.80,0.79,1021,5854,4.406,1.012,300.86398,44.337551,,,,,
99,1,60.32494216,6.6188,20300.00,12.19,411,5485,4.556,0.867,285.28363,38.947281,,,,,
100,1,29.1598615,4.803,488.00,1.91,524,5485,4.556,0.867,285.28363,38.947281,,,,,
101,0,1.540397253,2.1541,816.00,25.69,1470,5663,4.53,0.915,286.92639,38.921631,,,,,
102,0,2.99025443,5.414,589.00,1.7,918,4667,4.578,0.731,287.74881,38.92955,,,,,
103,1,1.594745374,1.9604,15000.00,11.3,1539,5934,4.491,0.893,285.21381,39.027481,,,,,
104,1,4.783002698,2.335,1010.00,2.5,886,5170,4.574,0.807,287.09399,39.060719,,,,,
